Municipios,Postos,Latitude,Longitude,Anos,Meses,Total,Dia1,Dia2,Dia3,Dia4,Dia5,Dia6,Dia7,Dia8,Dia9,Dia10,Dia11,Dia12,Dia13,Dia14,Dia15,Dia16,Dia17,Dia18,Dia19,Dia20,Dia21,Dia22,Dia23,Dia24,Dia25,Dia26,Dia27,Dia28,Dia29,Dia30,Dia31
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2021,12,"158,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","28,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","28,5","64,0",0.0,0.0,0.0,37.5
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,1,"159,1","48,7","6,7","45,0","30,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,5","7,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","17,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,2,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,,,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,3,"335,4","0,0","0,0","0,0","0,0","0,0","0,0","39,2","0,0","32,2","30,8","0,0","37,2","0,0","0,0","0,0","46,2","10,6","0,0","0,0","0,0","4,0","33,4","21,2","13,8","7,4","0,0","23,6",19.2,16.6,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,4,"256,5","37,0","3,6","0,0","22,5","0,0","0,0","0,0","10,8","0,0","0,0","0,0","42,2","3,4","0,0","0,0","0,0","16,2","0,0","0,0","0,0","12,6","0,0","57,2","32,6","4,2","0,0","0,0",14.2,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,5,"105,0","0,0","0,0","0,0","5,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,2","25,6","38,6","2,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","12,8",0.0,0.0,0.0,18.2
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,6,"60,2","0,0","0,0","14,0","15,6","1,4","0,0","0,0","0,0","0,0","2,8","22,6","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,7,"27,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,2","0,0","16,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,8,"21,4","0,0","0,0","0,0","21,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,10,"40,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","33,4","0,0","6,6",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,11,"391,4","0,0","0,0","0,0","16,8","127,0","1,0","0,0","21,4","0,0","0,0","0,0","0,0","80,2","123,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,21.4,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2022,12,"39,6","0,4","24,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","10,8","0,0","0,0","3,6","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,1,"197,0","0,0","45,2","8,4","7,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","25,4","0,0","23,0","0,0","6,6","3,0","42,0","17,6","0,0","14,4","4,2","0,0","0,0","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,2,"168,2","0,0","21,8","47,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,2","0,0","0,0","0,0","8,8","0,0","0,0","5,2","0,0","0,0","0,0","22,0","5,2","43,8","7,8","0,0","0,0",0.0,,,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,3,"465,1","0,0","0,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","83,2","67,0","26,0","0,0","0,0","11,8","53,6","4,4","4,4","52,8","1,0","0,0","8,8","0,0","69,4",36.1,0.0,27.2,16.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,4,"126,7","0,0","0,0","0,0","0,0","45,3","11,4","0,0","3,4","12,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,38.4,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,5,"32,4","0,0","0,0","0,0","4,0","0,0","12,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,2","0,0","1,0","3,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",7.6,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,6,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,7,"1,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,8,"14,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,11.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,9,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,10,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,0.0
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,11,"14,8","0,0","0,0","0,0","0,0","0,0","14,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,
Aurora,AGROVILA,"-6,9913611111111","-39,025638888889",2023,12,"16,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,2","4,2","7,0","0,0","0,0","0,0","0,0","0,0","0,0",0.0,0.0,0.0,0.0
